user_id,username,password,email,phone,role,created_at
1,ipalmer,*8DGrKtw+7Z1,april54@example.com,3698977620,Organizer,2023-06-11 17:59:21
2,zbarker,^XsN$cd0&17(,melissa88@example.org,3635221962,User,2023-02-07 04:16:42
3,spencerlaura,U+D8Y&fqfgQ!,billrobinson@example.net,6758100555,Admin,2023-06-04 03:12:02
4,franklinroger,RDU&Tikz*2AY,ilindsey@example.net,4236617151,User,2020-11-08 15:43:26
5,travispineda,6zATjxNL2t0),murraykevin@example.net,2779863250,Organizer,2023-04-02 14:34:25
6,rmartinez,#B2iZtb_&KZX,josephholmes@example.net,0741161464,User,2024-08-15 09:02:12
7,hooverlaura,&%lvg3VwPj)E,vsmith@example.org,9789482021,User,2022-05-01 05:36:42
8,gpowell,PyJYoQn#)98N,linda81@example.net,9183761181,Organizer,2024-06-17 17:04:02
9,ichapman,H^XbxVmk7U00,kdiaz@example.org,1030086191,User,2023-10-21 17:47:58
10,uhill,6B8yZLrO!31E,skennedy@example.org,8702740133,Admin,2024-02-11 20:49:38
11,jameswall,)y5$gxXZc(6K,aflowers@example.net,1875394386,Admin,2023-11-25 13:55:41
12,williamsdaisy,*ZDKFeHgca2B,lauratorres@example.net,6732272630,User,2024-06-01 06:04:33
13,travishunter,5UHEol@fKU2&,amy25@example.com,8690551979,User,2022-06-17 07:23:26
14,lauraroberts,U*3O68He^_9!,amanda15@example.com,2745304105,Organizer,2020-06-17 23:53:16
15,sharoncurtis,iG^5EQilDf+O,whitechristopher@example.com,8906806377,Organizer,2024-09-06 02:55:26
16,kenneth13,ah1Cz^eP!7x9,lewissandra@example.com,0652855374,Admin,2021-08-08 10:05:44
17,alex95,U#T2&1LR_1la,desireeclark@example.net,2347663273,User,2020-10-30 14:54:05
18,randy91,*(#1#nmP0DuZ,rogerstimothy@example.net,7392551508,Admin,2023-01-31 08:49:02
19,cramirez,^MyEP#PD8vLn,lolsen@example.com,1096098760,Admin,2021-08-17 23:25:52
20,fernando05,+nT7OSI1#3dI,rwoods@example.org,1236147303,Organizer,2024-03-07 18:53:49
21,jasonharper,t55!8Ana)+)@,samanthacarroll@example.org,0725320573,Organizer,2021-03-29 23:34:43
22,garciakyle,M*0y9Jn(RnS3,codyjones@example.org,3326595591,Admin,2024-07-15 16:59:28
